36 72
Science 15 -45
Finance -25 -25
Commerce 130 14
CollegeofCommerceExtension 120 11
Library 65 -10
WestGate -60 -90
AbuAhmadSupermarket -130 -62
Security -135 -45
FootballInner -130 0
Center 0 0
FootballOuter -125 30
Art -95 45
Pharmacy -60 58
Roundabout -40 64
Media -27 60
WomenDevelopmentCollege -39 55
Literature -45 43
SportsEntrance -67 20
WataniaBooth -57 10
BasketballCourtEntrance -65 -5
Engineering -51 -20
EngineeringEntry -40 -20
NexttoKamalNasser 4 -5
KamalNasser 20 -5
KamalNasserTriangle 30 5
StudentCouncil -12 16
FrontStudentCouncil 5 13
AlShini -16 30
CollegeofRights -3 43
Education 1 55
BlueDome 2 65
IT 1 72
EastGate -5 75
Theatre -20 73
GraduateStudies 110 4
UniversityClinic 67 -22
Finance Science 61
Science Finance 61
CollegeofCommerceExtension Commerce 70
Commerce CollegeofCommerceExtension 70
Science UniversityClinic 69 
UniversityClinic Science 69
WestGate Science 89
Science WestGate 89
AbuAhmadSupermarket Security 36
Security AbuAhmadSupermarket 36
WestGate AbuAhmadSupermarket 84
AbuAhmadSupermarket WestGate 84
FootballInner Security 127
Security FootballInner 127
FootballOuter FootballInner 135 
FootballInner FootballOuter 135 
Library GraduateStudies 66
GraduateStudies Library 66
Art FootballOuter 73
FootballOuter Art 73
Pharmacy Art 80 
Art Pharmacy 80 
Roundabout Pharmacy 37 
Pharmacy Roundabout 37
Roundabout Media 37 
Media Roundabout 37
Roundabout WomenDevelopmentCollege 81
WomenDevelopmentCollege Roundabout 81
WomenDevelopmentCollege Literature 51  
Literature WomenDevelopmentCollege 51  
Literature SportsEntrance 61
SportsEntrance Literature 61
SportsEntrance WataniaBooth 68 
WataniaBooth SportsEntrance 68
WataniaBooth BasketballCourtEntrance 42
BasketballCourtEntrance WataniaBooth 42
BasketballCourtEntrance Engineering 41
Engineering BasketballCourtEntrance 41
EngineeringEntry Engineering 17  
Engineering EngineeringEntry 17  
EngineeringEntry Finance 18
Finance EngineeringEntry 18
KamalNasserTriangle EngineeringEntry 97
EngineeringEntry KamalNasserTriangle 97
NexttoKamalNasser KamalNasser 23
KamalNasser NexttoKamalNasser 23
KamalNasserTriangle KamalNasser 20
KamalNasser KamalNasserTriangle 20
Theatre Roundabout 65  
Roundabout Theatre 65  
StudentCouncil KamalNasser 24
KamalNasser StudentCouncil 24
FrontStudentCouncil KamalNasser 48
KamalNasser CollegeofCommerceExtension 123
CollegeofCommerceExtension KamalNasser 123
KamalNasser FrontStudentCouncil 48
KamalNasser Center 22
Center KamalNasser 22
AlShini StudentCouncil 57
StudentCouncil Center 32
Center StudentCouncil 32
StudentCouncil AlShini 57 
CollegeofRights AlShini 61 
AlShini CollegeofRights 61 
Education CollegeofRights 68
CollegeofRights Education 68
BlueDome Education 76  
Education BlueDome 76  
IT BlueDome 49
BlueDome IT 49
EastGate IT 21
IT EastGate 21
EastGate Theatre 32
Theatre EastGate 32
GraduateStudies Commerce 35
Commerce GraduateStudies 35
UniversityClinic Library 37
Library UniversityClinic 37
