36 72
Science 15 -45
Finance -25 -25
commerce 130 14
CollegeofCommerceExtension 120 11
library 65 -10
Sciencedoor -60 -90
abuahmad -130 -62
security -135 -45
football -130 0
center 0 0
footballturnedout -125 30
artests -95 45
Pharmacy -60 58
Circle -40 64
Media -27 60
WomensDevelopmentCollege -39 55
Literature -45 43
sportsentrance -67 20
wataniabooth -57 10
Basketballcourtentrance -65 -5
Engineering -51 -20
Engineeringturn -40 -20
NexttoKamalNasser 4 -5
KamalNasser 20 -5
KamalNasserTriangle 30 5
StudentCouncil -12 16
infrontofthestudentcouncil 5 13
alshenee -16 30
collageofrights -3 43
Education 1 55
bluebilding 2 65
it 1 72
itturn -5 75
Thestage -20 73
GraduateStudies 110 4
Universityclinic 67 -22
Finance Science 61
Science Finance 61
CollegeofCommerceExtension commerce 70
commerce CollegeofCommerceExtension 70
Science Universityclinic 69
Universityclinic Science 69
Sciencedoor Science 89
Science Sciencedoor 89
abuahmad security 36
security abuahmad 36
Sciencedoor abuahmad 84
abuahmad Sciencedoor 84
football security 127
security football 127
footballturnedout football 135
football footballturnedout 135
library GraduateStudies 66
GraduateStudies library 66
artests footballturnedout 73
footballturnedout artests 73
Pharmacy artests 80
artests Pharmacy 80
Circle Pharmacy 37
Pharmacy Circle 37
Circle Media 37
Media Circle 37
Circle WomensDevelopmentCollege 81
WomensDevelopmentCollege Circle 81
WomensDevelopmentCollege Literature 51
Literature WomensDevelopmentCollege 51
Literature sportsentrance 61
sportsentrance Literature 61
sportsentrance wataniabooth 68
wataniabooth sportsentrance 68
wataniabooth Basketballcourtentrance 42
Basketballcourtentrance wataniabooth 42
Basketballcourtentrance Engineering 41
Engineering Basketballcourtentrance 41
Engineeringturn Engineering 17
Engineering Engineeringturn 17
Engineeringturn Finance 18
Finance Engineeringturn 18
KamalNasserTriangle Engineeringturn 97
Engineeringturn KamalNasserTriangle 97
NexttoKamalNasser KamalNasser 23
KamalNasser NexttoKamalNasser 23
KamalNasserTriangle KamalNasser 20
KamalNasser KamalNasserTriangle 20
Thestage Circle 65
Circle Thestage 65
StudentCouncil KamalNasser 24
KamalNasser StudentCouncil 24
infrontofthestudentcouncil KamalNasser 48
KamalNasser infrontofthestudentcouncil 48
alshenee StudentCouncil 57
StudentCouncil alshenee 57
collageofrights alshenee 61
alshenee collageofrights 61
Education collageofrights 68
collageofrights Education 68
bluebilding Education 76
Education bluebilding 76
it bluebilding 49
bluebilding it 49
itturn it 21
it itturn 21
itturn Thestage 32
Thestage itturn 32
GraduateStudies commerce 35
commerce GraduateStudies 35
Universityclinic library 37
library Universityclinic 37
